Theta, Alpha, Low_beta, High_beta, Gamma
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.514343,1.00366,0.574177,0.778658,1.07238,
0.693061,0.69648,1.15898,0.666075,0.934597,
0.65021,1.16281,0.600023,0.841983,1.20251,
0.703137,0.757307,1.09794,0.7737,1.03937,
0.65021,1.16281,0.600023,0.841983,1.20251,
0.703137,0.757307,1.09794,0.7737,1.03937,
0.65021,1.16281,0.600023,0.841983,1.20251,
0.703137,0.757307,1.09794,0.7737,1.03937,
0.65021,1.16281,0.600023,0.841983,1.20251,
0.703137,0.757307,1.09794,0.7737,1.03937,
0.65021,1.16281,0.600023,0.841983,1.20251,
0.703137,0.757307,1.09794,0.7737,1.03937,
0.65021,1.16281,0.600023,0.841983,1.20251,
0.703137,0.757307,1.09794,0.7737,1.03937,
0.65021,1.16281,0.600023,0.841983,1.20251,
0.703137,0.757307,1.09794,0.7737,1.03937,
0.65021,1.16281,0.600023,0.841983,1.20251,
0.703137,0.757307,1.09794,0.7737,1.03937,
0.65021,1.16281,0.600023,0.841983,1.20251,
0.703137,0.757307,1.09794,0.7737,1.03937,
0.65021,1.16281,0.600023,0.841983,1.20251,
0.703137,0.757307,1.09794,0.7737,1.03937,
0.65021,1.16281,0.600023,0.841983,1.20251,
0.703137,0.757307,1.09794,0.7737,1.03937,
0.65021,1.16281,0.600023,0.841983,1.20251,
0.703137,0.757307,1.09794,0.7737,1.03937,
0.65021,1.16281,0.600023,0.841983,1.20251,
0.703137,0.757307,1.09794,0.7737,1.03937,
0.65021,1.16281,0.600023,0.841983,1.20251,
0.703137,0.757307,1.09794,0.7737,1.03937,
0.65021,1.16281,0.600023,0.841983,1.20251,
0.703137,0.757307,1.09794,0.7737,1.03937,
0.65021,1.16281,0.600023,0.841983,1.20251,
0.703137,0.757307,1.09794,0.7737,1.03937,
0.65021,1.16281,0.600023,0.841983,1.20251,
